dataset,src,tgt,raw,ref,trans,score,input_tokens,output_tokens,total_tokens,latency_ms
tatoeba,en,nl,Mary bites her nails.,Maria bijt op haar nagels.,"{""c"":""Mary bijt haar nagels.""}",83,1217,12,1229,587.98
mtnt,fr,en,"La notion de partage est clairement moins là mais en supprimant au fur et à mesure ça passe très bien, non ?","The notion of sharing is clearly less present but by deleting progressively, it works very well, does not it?","{""c"":""The notion of sharing is clearly less present, but by removing it gradually, it works very well, doesn't it?""}",82,1236,30,1266,615.32
tatoeba,en,nl,He's allergic to cats.,Hij is allergisch voor katten.,"{""c"":""Hij is allergisch voor katten.""}",82,1219,13,1232,430.15
mtnt,fr,en,(Il existe des U moins encombrant),(Less bulky U locks exist),"{""c"":""(There are less cumbersome Us)""}",73,1221,12,1233,551.88
subtitle,en,nl,"Genetic manipulation, obviously, but what kind?","Genetische manipulatie, maar hoe?","{""c"":""Genetische manipulatie, uiteraard, maar wat voor soort?""}",90,1221,20,1241,1100.26
tatoeba,en,nl,He can't run very fast.,Hij kan niet erg snel rennen.,"{""c"":""Hij kan niet erg snel rennen.""}",75,1220,13,1233,446.47
subtitle,en,nl,Didn't it bother you that he was more popular?,Vond u het erg dat hij populairder was?,"{""c"":""Vond je het niet erg dat hij populairder was?""}",83,1224,18,1242,754.84
mtnt,fr,en,J'hésite à passer la licence VTC pour cumuler avec mon activité de traducteur en attendant d'être assez calé en développement Web pour une reconversion.,I'm hesitating to pass the VTC licence to combine it to my translation work while waiting to be skilled enough in Web Development for a reconversion.,"{""c"":""I'm hesitant to get a VTC license to combine it with my translation work while waiting to be skilled enough in web development for a career change.""}",87,1248,36,1284,1036.96
tatoeba,en,nl,Stop Tom.,Stop Tom.,"{""c"":""Stop Tom.""}",95,1215,8,1223,353.15
subtitle,en,nl,This man asked me to do terrible things.,Die man vroeg mij om vreselijke dingen te doen.,"{""c"":""Deze man vroeg me om vreselijke dingen te doen.""}",90,1221,17,1238,505.53
mtnt,fr,en,Dans le doute bidouille le doc.,"If in doubt, fiddle with the doc.","{""c"":""When in doubt, tinker with the doc.""}",82,1220,14,1234,407.24
tatoeba,en,nl,How much is 300 euros in Canadian dollars?,Hoeveel is 300 euro in Canadese dollars?,"{""c"":""Hoeveel is 300 euro in Canadese dollars?""}",72,1224,18,1242,672.87
subtitle,en,nl,Just let me get a look at you!,Laat me je eens bekijken!,"{""c"":""Ik wil je gewoon even zien!""}",79,1221,12,1233,745.56
mtnt,fr,en,Serait-ce une envoyée du Maaaaaal?,Could she be a servant of eviiiiiiiil?,"{""c"":""Could it be an envoy of Eeeeevil?""}",82,1224,15,1239,390.81
tatoeba,en,nl,Tom can't stand being interrupted.,Tom kan het niet uitstaan onderbroken te worden.,"{""c"":""Tom kan er niet tegen om onderbroken te worden.""}",82,1220,16,1236,480.62
subtitle,en,nl,"Jesus, Sam.","O Jesus, Sam.","{""c"":""Jezus, Sam.""}",82,1216,11,1227,572.83
mtnt,fr,en,Deux appareils sur trois vendus par Apple sont toujours en utilisation !,Two out of three devices sold by Apple are still in use!,"{""c"":""Two out of every three Apple devices sold are still in use!""}",96,1225,18,1243,543.28
tatoeba,en,nl,I don't want to continue pressing the issue.,Ik wil niet blijven aandringen.,"{""c"":""Ik wil het onderwerp niet langer aandringen.""}",75,1223,14,1237,467.95
subtitle,en,nl,The tree's too heavy.,De boom is te zwaar.,"{""c"":""De boom is te zwaar.""}",95,1219,12,1231,494.47
mtnt,fr,en,"Je sentais bien que le contenu pouvait être collector, je ne me doutais pas à quel point.","I knew the content would be epic, I didn't know how much.","{""c"":""I had a feeling the content could be collectible, I didn't realize how much.""}",82,1233,23,1256,682.64
subtitle,en,nl,"Mama, stop.","Mama, stop.","{""c"":""Mama, stop.""}",82,1216,9,1225,390.85
tatoeba,en,nl,"According to the Bible, God created the world in six days.",Volgens de bijbel schiep God de wereld in zes dagen.,"{""c"":""Volgens de Bijbel schiep God de wereld in zes dagen.""}",96,1225,19,1244,491.75
mtnt,fr,en,"Après malgré ça, j'ai réussi à contourner ce problème grâce aux pouvoirs du cerveau.",Despite all this I managed to get around it thanks to the power of the brain.,"{""c"":""Despite all that, I managed to work around this problem thanks to the power of the brain.""}",82,1231,24,1255,636.6
tatoeba,en,nl,I'll arrive on Christmas Day.,Ik zal op kerstdag aankomen.,"{""c"":""Ik arriveer op kerstdag.""}",82,1220,13,1233,434.2
subtitle,en,nl,"Aw, Grace is pretty upset about not being able to do this town photo.",Grace is echt van streek omdat ze dit stadsfoto projekt niet kan doen.,"{""c"":""O, Grace is behoorlijk van streek omdat ze deze stadsfoto niet kan maken.""}",82,1228,25,1253,538.48
subtitle,nl,fr,Ik herinner me dat je moeder je moest slaan voor je een jurk aantrok.,Salut... Dire que ta mère te battait pour que tu mettes une robe.,"{""c"":""Je me souviens que ta mère devait te frapper pour que tu mettes une robe.""}",82,1231,25,1256,536.98
tatoeba,nl,fr,Ik heb een raar geluid gehoord.,J'ai entendu un bruit étrange.,"{""c"":""J\""ai entendu un bruit étrange.""}",85,1223,14,1237,482.96
mtnt,fr,en,Quel est votre but dans la vie ?,What do you live for?,"{""c"":""What is your purpose in life?""}",82,1220,12,1232,489.86
subtitle,nl,fr,Kun jij dat ook zeggen?,Pouvez-vous en dire de même ?,"{""c"":""Peux-tu le dire aussi ?""}",74,1218,13,1231,454.66
tatoeba,nl,fr,Leven is wat je gebeurt terwijl je andere plannen maakt.,La vie c'est ce qui se passe pendant que tu es occupée à faire d'autres plans.,"{""c"":""La vie est ce qui arrive pendant que vous faites d'autres projets.""}",82,1226,20,1246,1034.37
mtnt,fr,en,"Aaaaaaaah.... 8 ans après, je viens de percuter....  :o 'tain je me disais bien que je passais à côté d'un truc vu les upvotes.","Aaaaaaaah.... 8 years later, I've just realized.... :o damn I had the feeling that I was missing something considering the upvotes.","{""c"":""Aaaaaaaah.... 8 years later, I just stumbled upon.... :o I was telling myself I was missing something with all those upvotes.""}",79,1254,36,1290,1359.02
subtitle,nl,fr,- IJs met een cliënt?,- De la glace avec un client?,"{""c"":""- De la glace avec un client ?""}",97,1219,13,1232,451.34
tatoeba,nl,fr,Ik hoop je snel te zien.,J'espère te voir vite.,"{""c"":""J'espère te revoir bientôt.""}",82,1219,13,1232,574.45
mtnt,en,ja,It’s okay to be ahead of the curve tho.,彼はでもちょっと先に行っても良いと思います。,"{""c"":""ちょっと先取りしても大丈夫だよ。""}",78,1224,12,1236,548.94
tatoeba,nl,fr,Japan is een land van eilanden.,Le Japon est un pays insulaire.,"{""c"":""Le Japon est un pays d'îles.""}",82,1220,15,1235,474.5
subtitle,nl,fr,Ze kan Davina vinden voordat die man haar kwaad doet.,Elle trouvera Davina avant que cet homme abuse d'elle.,"{""c"":""Elle peut retrouver Davina avant que cet homme ne lui fasse du mal.""}",82,1225,20,1245,706.29
mtnt,en,ja,"Sure, but the VR aspect of the game was a shining crazy diamond when it came out.",そうだな、ただVRとしての観点からみれば、これは光り輝くダイヤモンドみたいなもんだ。,"{""c"":""もちろん、ゲームのVR要素は発売当時、輝かしいクレイジーダイヤモンドでした。""}",78,1231,23,1254,1092.73
tatoeba,nl,fr,China is veel groter dan Japan.,La Chine est beaucoup plus grande que le Japon.,"{""c"":""La Chine est beaucoup plus grande que le Japon.""}",82,1220,15,1235,674.89
subtitle,nl,fr,Ik ken je van een foto.,Je t'ai reconnu d'après une photo.,"{""c"":""Je te connais de photo.""}",62,1219,12,1231,426.29
subtitle,nl,fr,We maken toch geen van beiden kans bij Jackie.,"D'ailleurs, Jackie ne veut pas de nous.","{""c"":""Nous n'avons vraiment aucune chance tous les deux avec Jackie.""}",82,1222,18,1240,482.74
mtnt,en,ja,>What do you do to jog your memory back when you forgot something?,"> あなたが何かを忘れてしまったとき,思い出すために何をしますか？","{""c"":""何かを忘れてしまったとき、記憶を呼び覚ますためにどんなことをしますか？""}",82,1226,23,1249,1492.92
tatoeba,nl,fr,Teken hier!,Signe ici !,"{""c"":""Signez ici!""}",82,1216,9,1225,784.24
subtitle,nl,fr,Ja.,Oui.,"{""c"":""Oui.""}",50,1214,7,1221,310.27
mtnt,en,ja,N-o w-a-y!,ちーがーうーだーろー！,"{""c"":""ありえない！""}",72,1221,8,1229,338.85
tatoeba,nl,fr,Ik zou geen voedsel moeten eten dat suiker bevat.,Je ne devrais pas manger de nourriture contenant du sucre.,"{""c"":""Je ne devrais pas manger d'aliments contenant du sucre.""}",92,1224,19,1243,641.61
mtnt,en,ja,My sweet Anzu…,我が愛しのあんずちゃん……,"{""c"":""私の可愛いアンズ…""}",72,1217,10,1227,379.88
subtitle,nl,fr,"Denk niet dat jij meer van romantiek weet dan ik. Handje vasthouden, elkaar voeren en afvegen is ook maar gelul.",N'imaginez pas que vous êtes un as de la romance en vous tripotant les mains et en vous donnant la becquée.,"{""c"":""Ne pense pas que tu en saches plus sur le romantisme que moi. Se tenir la main, se nourrir et s’essuyer la bouche n’est que des conneries.""}",72,1244,45,1289,749.43
tatoeba,nl,fr,We stonden voor de deur en wachtten.,Nous nous tenions devant la porte et attendions.,"{""c"":""Nous étions devant la porte et nous attendions.""}",82,1222,16,1238,456.13
subtitle,nl,fr,Ja.,Oui.,"{""c"":""Oui.""}",50,1214,7,1221,253.73
mtnt,en,ja,Anyone know if you can fit a T25 keyboard to a T470s or T480s?,T25のキーボードが、T470sかT480sに繋げれるかわかる人いる？,"{""c"":""T25 キーボードが T470s または T480s に適合するかご存知の方はいらっしゃいますか？""}",85,1237,34,1271,967.99
tatoeba,nl,fr,Joan brak haar linkerarm in het ongeluk.,Joan s'est cassé son bras gauche dans l'accident.,"{""c"":""Joan s'est cassé le bras gauche dans l'accident.""}",88,1222,19,1241,648.89
subtitle,nl,fr,"Wij, Seymour, hebben geen probleem met hem.","- Nous, Seymour, on n'a rien contre lui.","{""c"":""Nous, Seymour, n'avons aucun problème avec lui.""}",82,1222,17,1239,446.06
mtnt,en,ja,"By the way, what did you go to do at the Pyeongchang Olympics!",ところで、平昌オリンピックに何しに行ったの〜！,"{""c"":""ところで、ピョンチャンオリンピックで何をしに行きましたか！""}",82,1229,19,1248,687.12
tatoeba,nl,fr,Ik was verwonderd wanneer ik hoorde wat er gebeurd was.,J'ai été étonné d'entendre ce qui s'était passé.,"{""c"":""J'étais surpris quand j'ai entendu ce qui s'était passé.""}",78,1227,22,1249,484.9
subtitle,da,it,- Det ved jeg ikke.,- Non lo so.,"{""c"":""Non lo so.""}",95,1217,9,1226,310.83
mtnt,en,ja,Is it possible for anyone to either ask in person or ring them?,誰かお店に直接行って確認、または電話で確認することができますか？,"{""c"":""直接会うか、電話で問い合わせることはできますか？""}",75,1226,18,1244,475.43
tatoeba,da,it,Ja.,Sì.,"{""c"":""Sì.""}",50,1214,8,1222,799.19
subtitle,da,it,Hvornår siger vi det til dem?,Quando glielo diremo?,"{""c"":""Quando diciamo loro?""}",72,1221,9,1230,519.77
mtnt,en,ja,Let me know what you think!,どう思うか教えてくれよ！,"{""c"":""どう思いますか？""}",73,1219,9,1228,406.56
tatoeba,da,it,Han er bøsse.,È gay.,"{""c"":""È linguaggio inappropriato.""}",15,1217,10,1227,393.01
subtitle,da,it,"Men ja, han spiller ægte country.","Ma lui è veramente country, si.","{""c"":""Sì, suona vero country.""}",75,1221,13,1234,415.01
mtnt,en,ja,95% of Tanks in Mythic Dungeon Invitational are Blood DKs,ミシック・ダンジョン・インビテーショナルに出てくるタンクの９５％はブラッドDK。,"{""c"":""Mythic Dungeon Invitational のタンクの 95% はブラッド DK です""}",82,1227,21,1248,473.26
subtitle,da,it,Er der nogen her?,C'è qualcuno qui?,"{""c"":""C'è qualcuno qui?""}",95,1217,11,1228,382.58
tatoeba,da,it,"De snakker ikke om det, men du kan se det.","Essi non ne parlano, ma si può vedere.","{""c"":""Non ne parlano, ma puoi vederlo.""}",82,1226,15,1241,408.38
mtnt,ja,en,彼はでもちょっと先に行っても良いと思います。,It’s okay to be ahead of the curve tho.,"{""c"":""I think it’s okay if he goes a little ahead.""}",82,1221,18,1239,413.49
tatoeba,da,it,Jeg er et menneske.,Sono una persona.,"{""c"":""Io sono un essere umano.""}",78,1218,11,1229,371.12
subtitle,da,it,"Faktisk er jeg ikke sikker på, om jeg vil have dit efternavn.",A dire il vero non abbiamo ancora deciso se prendero' il tuo cognome. Ma sai un cosa?,"{""c"":""In realtà, non sono sicuro di volere il tuo cognome.""}",73,1230,19,1249,498.08
subtitle,da,it,"Nej, du gør ikke.","No, non lo fara'.","{""c"":""No, non lo fai.""}",82,1219,11,1230,425.86
tatoeba,da,it,Han studerer fransk og webdesign.,Studia francese e web design.,"{""c"":""Sta studiando francese e web design.""}",79,1221,13,1234,395.43
mtnt,ja,en,そうだな、ただVRとしての観点からみれば、これは光り輝くダイヤモンドみたいなもんだ。,"Sure, but the VR aspect of the game was a shining crazy diamond when it came out.","{""c"":""Well, just from a VR perspective, this is like a shining diamond.""}",78,1234,20,1254,692.57
subtitle,da,it,Det er virkeligt.,E' reale.,"{""c"":""È veramente.\""}""",48,1218,8,1226,422.45
tatoeba,da,it,"Det er min skyld, ikke din.","È colpa mia, non vostra.","{""c"":""È colpa mia, non tua.""}",92,1221,13,1234,410.87
mtnt,ja,en,"> あなたが何かを忘れてしまったとき,思い出すために何をしますか？",>What do you do to jog your memory back when you forgot something?,"{""c"":""What do you do to remember something when you've forgotten it?""}",82,1229,19,1248,458.74
subtitle,da,it,"Tror du, han er Zhangs bagmand?",Quindi credi che sia a lui che Zhang passa la roba?,"{""c"":""Pensi che sia il mandante di Zhang?""}",73,1223,15,1238,512.11
mtnt,ja,en,ちーがーうーだーろー！,N-o w-a-y!,"{""c"":""That's wrong!""}",64,1224,10,1234,352.95
tatoeba,da,it,Dette er et varsel som vi må tage alvorligt.,Questo è un avvertimento che dobbiamo prendere sul serio.,"{""c"":""Questo è un avviso che dobbiamo prendere sul serio.""}",82,1226,16,1242,405.51
subtitle,da,it,"Klatrer vi op, bliver vi måske reddet.",Forse se ci arrampichiamo possiamo salvarci.,"{""c"":""Se ci arrampichiamo, forse saremo salvati.""}",85,1225,18,1243,448.73
mtnt,ja,en,我が愛しのあんずちゃん……,My sweet Anzu…,"{""c"":""My beloved Anzu-chan...""}",90,1220,12,1232,373.23
tatoeba,da,it,Vaccinen er særdeles effektiv.,Il vaccino è estremamente efficace.,"{""c"":""Il vaccino è particolarmente efficace.""}",87,1220,12,1232,382.86
subtitle,da,it,- Gør du det?,Lo apprezzi? Davvero? Si'.,"{""c"":""Lo fai?""}",73,1217,8,1225,379.91
mtnt,ja,en,T25のキーボードが、T470sかT480sに繋げれるかわかる人いる？,Anyone know if you can fit a T25 keyboard to a T470s or T480s?,"{""c"":""Does anyone know if the T25 keyboard can be connected to a T470s or T480s?""}",85,1241,31,1272,991.61
tatoeba,da,it,Auckland er en by i New Zealand.,Auckland è una città della Nuova Zelanda.,"{""c"":""Auckland è una città in Nuova Zelanda.""}",92,1221,16,1237,766.19
subtitle,ja,nl,- 何が起きたんだ！ - なんだそれ？,- Wat gebeurt er?,"{""c"":""\""Wat is er gebeurd! - Wat is dat?\""""}",62,1224,18,1242,979.16
tatoeba,da,it,Hun er for gammel til ham.,Lei è troppo vecchia per lui.,"{""c"":""È troppo vecchia per lui.""}",87,1220,11,1231,629.89
subtitle,ja,nl,ぉ前の魂を食らつてやる,Ik ga me tegoed doen aan je ziel.,"{""c"":""Ik ga je ziel verslinden""}",82,1222,12,1234,396.79
mtnt,ja,en,ところで、平昌オリンピックに何しに行ったの〜！,"By the way, what did you go to do at the Pyeongchang Olympics!","{""c"":""By the way, what did you go to Pyeongchang Olympics for~!""}",85,1226,21,1247,937.3
tatoeba,ja,nl,その絵を見なさい。,Bekijk de afbeelding.,"{""c"":""Bekijk die schildering.""}",82,1218,12,1230,562.89
subtitle,ja,nl,ありがとう,Dankjewel.,"{""c"":""Bedankt""}",60,1214,7,1221,441.22
mtnt,ja,en,誰かお店に直接行って確認、または電話で確認することができますか？,Is it possible for anyone to either ask in person or ring them?,"{""c"":""Can anyone go to the store directly to check, or call to confirm?""}",82,1228,20,1248,542.26
tatoeba,ja,nl,このホテルは去年建てられた。,Dit hotel is vorig jaar gebouwd.,"{""c"":""Dit hotel is vorig jaar gebouwd.""}",95,1219,14,1233,528.69
subtitle,ja,nl,したいが それには対価が要る,Dat zou ik graag willen. Maar er zit een prijskaartje aan.,"{""c"":""Ik zou dat graag doen, maar daar is een prijs voor.""}",78,1222,18,1240,491.91
mtnt,ja,en,どう思うか教えてくれよ！,Let me know what you think!,"{""c"":""Let me know what you think!""}",95,1220,12,1232,419.12
tatoeba,ja,nl,私はジョンです。,Ik ben John.,"{""c"":""Ik ben John.""}",75,1216,9,1225,301.53
subtitle,ja,nl,いいえ、サー。,"Nee, meneer.","{""c"":""Nee, meneer.""}",95,1217,11,1228,413.46
mtnt,ja,en,ミシック・ダンジョン・インビテーショナルに出てくるタンクの９５％はブラッドDK。,95% of Tanks in Mythic Dungeon Invitational are Blood DKs,"{""c"":""95% of the tanks in the Mythic Dungeon Invitational are Blood DKs.""}",97,1234,22,1256,495.69
tatoeba,ja,nl,あなたが彼女の結婚式について何も知らないとは不思議だ。,Het is raar dat jij niks van haar huwelijksceremonie afweet.,"{""c"":""Het is vreemd dat je niets weet over haar bruiloft.""}",87,1224,19,1243,476.25
subtitle,ja,nl,さあどうぞ カウボーイ　プリンセス,"Hé, jongens. Pak maar.","{""c"":""Laten we gaan, Cowboy Prinses""}",62,1225,13,1238,395.48
tatoeba,ja,nl,この地図がとても役に立つことが分かるでしょう。,U zult merken dat deze kaart erg handig is.,"{""c"":""Je zult zien dat deze kaart erg handig is.""}",79,1222,17,1239,529.0
subtitle,ja,nl,- 私の家族は？,M'n familie?,"{""c"":""Waar is mijn familie?""}",72,1218,10,1228,396.15
tatoeba,ja,nl,ベティはダンスの先生である。,Betty is danslerares.,"{""c"":""Betty is een danslerares.""}",85,1220,12,1232,571.5
subtitle,ja,nl,それが塩や金や 油であろうとなかろうと,"Of het nou zout, goud of olie is.","{""c"":""Of het nu zout, goud of olie is""}",96,1224,16,1240,473.53
tatoeba,ja,nl,別の実例を教えてください。,Geef me een ander voorbeeld alsjeblieft.,"{""c"":""Geef me nog een voorbeeld.""}",82,1219,12,1231,416.9
subtitle,ja,nl,- そうなの　わたし、ピューターが大好きなの,Daar ben ik gek op.,"{""c"":""\""Echt waar, ik hou echt van pewter.\""""}",52,1225,16,1241,549.65
tatoeba,ja,nl,私たちの知る限りでは、地球は海を持っている唯一の惑星である。,"Zover wij weten, is de aarde de enige planeet met oceanen.","{""c"":""Voor zover wij weten is de aarde de enige planeet met oceanen.""}",90,1227,22,1249,510.31
subtitle,ja,nl,メイソン　今週はどうだった？,"Mason, hoe was je week?","{""c"":""Mason, hoe was je week?""}",95,1223,12,1235,483.9
tatoeba,ja,nl,夜遅くまで起きていては駄目だよ。,"Het is niet goed als je zo laat in de avond opblijft, joh.","{""c"":""Je moet niet te laat opblijven.""}",75,1223,15,1238,450.46
subtitle,en,no,How... How do we know who's won?,Hvordan vet vi hvem som vinner?,"{""c"":""Hvordan... Hvordan vet vi hvem som har vunnet?""}",90,1223,19,1242,611.57
tatoeba,ja,nl,彼にはそれはすることができない。,Hij kan dat niet aan.,"{""c"":""Hij kan dat niet doen.""}",82,1218,11,1229,417.9
subtitle,en,no,"Come, Sonja!","Kom, Sonja!","{""c"":""Kom, Sonja!""}",95,1216,9,1225,409.71
tatoeba,en,no,I think that she is from Germany.,Jeg tror at hun er fra Tyskland.,"{""c"":""Jeg tror hun er fra Tyskland.""}",82,1220,13,1233,480.49
subtitle,en,no,"Dad, by the time you get back from your business trip, I'll be in South Africa.","Pappa, når du kommer tilbake fra forretningsreisen, er jeg i Sør-Afrika.","{""c"":""Pappa, når du kommer tilbake fra forretningsreisen din, vil jeg være i Sør-Afrika.""}",90,1233,29,1262,623.89
tatoeba,en,no,He's putting himself in debt.,Han setter seg i gjeld.,"{""c"":""Han setter seg i gjeld.""}",95,1220,12,1232,495.46
subtitle,en,no,With all of us trapped under this thing? Isn't it? You don't know that.,- Med oss alle fanget under denne tingen?,"{""c"":""Med oss alle fanget under denne greia? Er det ikke det? Du vet ikke det.""}",82,1233,25,1258,475.75
tatoeba,en,no,Tom works as a used car salesman.,Tom har jobb som bruktbilforhandlar.,"{""c"":""Tom jobber som bruktbilselger.""}",79,1220,15,1235,459.62
tatoeba,en,no,I like your article.,Jeg liker din artikkel.,"{""c"":""Jeg liker artikkelen din.""}",78,1217,12,1229,351.94
subtitle,en,no,The undead surround me.,De udøde omgir meg.,"{""c"":""De udøde omringer meg.""}",79,1217,13,1230,751.35
tatoeba,en,no,We accept all major credit cards.,Vi tar alle større kredittkort.,"{""c"":""Vi aksepterer alle større kredittkort.""}",79,1219,15,1234,457.73
subtitle,en,no,Please help me find her.,Hjelp meg med å finne henne.,"{""c"":""Vennligst hjelp meg med å finne henne.""}",75,1218,17,1235,514.36
tatoeba,en,no,Write me a message.,Skriv meg en melding.,"{""c"":""给我写个信息。""}",0,1217,10,1227,762.28
subtitle,en,no,Some have grown a bit since last time.,Noen har vokset litt siden sist.,"{""c"":""Noen har vokst litt siden sist.""}",82,1221,14,1235,387.28
subtitle,en,no,So if anybody knows what happened to ronnie...,Så hvis noen vet hva som skjedde med Ronnie...,"{""c"":""Så hvis noen vet hva som skjedde med ronnie...""}",97,1222,18,1240,798.89
